timestamp,colifast_LAE
2013-02-04 19:40:00,100
2013-02-05 09:40:00,200
2013-02-05 19:40:00,200
2013-02-06 09:40:00,50
2013-02-06 19:40:00,<50
2013-02-07 09:40:00,50
2013-02-07 19:40:00,100
2013-02-08 09:40:00,<50
2013-02-08 19:40:00,<50
2013-02-09 09:40:00,<50
2013-02-09 19:40:00,<50
2013-02-10 09:40:00,<50
2013-02-10 19:40:00,<50
2013-02-11 09:40:00,100
2013-02-11 19:40:00,100
2013-02-12 09:40:00,50
2013-02-12 18:40:00,<50
2013-02-13 10:14:00,50
2013-02-13 20:08:00,<50
2013-02-14 10:08:00,<50
2013-02-14 20:08:00,<50
2013-02-15 10:08:00,50
2013-02-15 20:08:00,100
2013-02-16 10:08:00,<50
2013-02-16 20:08:00,<50
2013-02-17 10:08:00,<50
2013-02-17 20:08:00,<50
2013-02-18 10:08:00,50
2013-02-18 20:08:00,100
2013-02-19 10:08:00,100
2013-02-19 20:08:00,100
2013-02-20 10:08:00,100
2013-02-20 20:08:00,<50
2013-02-21 10:08:00,100
2013-02-21 20:08:00,200
2013-02-22 10:08:00,<50
2013-02-22 20:08:00,<50
2013-02-23 10:08:00,50
2013-02-23 20:08:00,<50
2013-02-24 10:08:00,<50
2013-02-24 20:08:00,50
2013-02-25 10:08:00,<50
2013-02-25 20:08:00,<50
2013-02-26 10:08:00,50
2013-02-26 20:08:00,<50
2013-02-27 10:08:00,200
2013-02-27 20:08:00,100
2013-02-28 10:08:00,50
2013-02-28 20:08:00,50
2013-03-01 10:08:00,50
2013-03-01 20:08:00,<50
2013-03-02 10:08:00,50
2013-03-02 20:08:00,50
2013-03-03 10:08:00,<50
2013-03-03 20:08:00,<50
2013-03-04 10:08:00,100
2013-03-04 20:08:00,100
2013-03-05 10:08:00,100
2013-03-05 20:08:00,50
2013-03-06 10:08:00,<50
2013-03-06 20:08:00,<50
2013-03-07 10:08:00,200
2013-03-07 20:08:00,<50
2013-03-08 10:08:00,100
2013-03-08 20:08:00,<50
2013-03-09 10:08:00,50
2013-03-09 20:08:00,50
2013-03-10 10:08:00,<50
2013-03-10 20:08:00,<50
2013-03-11 10:08:00,<50
2013-03-11 20:08:00,<50
2013-03-12 10:08:00,50
2013-03-12 19:08:00,<50
2013-03-13 10:23:00,<50
2013-03-13 20:17:00,<50
2013-03-14 10:17:00,<50
2013-03-14 20:17:00,50
2013-03-15 10:17:00,<50
2013-03-15 20:17:00,<50
2013-03-16 10:17:00,<50
2013-03-16 20:17:00,<50
2013-03-17 10:17:00,<50
2013-03-17 20:17:00,100
2013-03-18 10:17:00,<50
2013-03-18 20:17:00,<50
2013-03-19 10:17:00,<50
2013-03-19 20:17:00,50
2013-03-20 10:17:00,50
2013-03-20 20:17:00,<50
2013-03-21 10:17:00,<50
2013-03-21 20:17:00,<50
2013-03-22 10:17:00,<50
2013-03-22 20:17:00,<50
2013-03-23 10:17:00,50
2013-03-23 20:17:00,<50
2013-03-24 10:17:00,50
2013-03-24 20:17:00,50
2013-03-25 10:17:00,50
2013-03-25 20:17:00,<50
2013-03-26 10:17:00,<50
2013-03-26 20:17:00,<50
2013-03-27 10:17:00,50
2013-03-27 20:17:00,<50
2013-03-28 10:17:00,50
2013-03-28 20:17:00,50
2013-03-29 10:17:00,50
2013-03-29 20:17:00,<50
2013-03-30 10:17:00,50
2013-03-30 20:17:00,<50
2013-03-31 10:17:00,<50
2013-03-31 20:17:00,50
2013-04-01 10:17:00,50
2013-04-01 20:17:00,<50
2013-04-02 10:17:00,<50
2013-04-02 20:17:00,50
2013-04-03 10:17:00,<50
2013-04-03 20:17:00,<50
2013-04-04 10:17:00,50
2013-04-04 20:17:00,<50
2013-04-05 10:17:00,50
2013-04-05 20:17:00,<50
2013-04-06 10:17:00,<50
2013-04-06 20:17:00,<50
2013-04-07 10:17:00,<50
2013-04-07 20:17:00,<50
2013-04-08 10:17:00,<50
2013-04-08 20:17:00,50
2013-04-09 10:17:00,<50
2013-04-09 19:17:00,<50
2013-04-11 09:06:00,<50
2013-04-11 19:00:00,<50
2013-04-12 09:00:00,<50
2013-04-12 19:00:00,<50
2013-04-13 09:00:00,50
2013-04-13 19:00:00,50
2013-04-14 09:00:00,<50
2013-04-14 19:00:00,<50
2013-04-15 09:00:00,100
2013-04-15 19:00:00,<50
2013-04-16 09:00:00,50
2013-04-16 19:00:00,<50
2013-04-17 09:00:00,<50
2013-04-17 19:00:00,<50
2013-04-18 09:00:00,50
2013-04-18 19:00:00,<50
2013-04-19 09:00:00,50
2013-04-19 19:00:00,100
2013-04-20 09:00:00,50
2013-04-20 19:00:00,50
2013-04-21 09:00:00,<50
2013-04-21 19:00:00,<50
2013-04-22 09:00:00,<50
2013-04-22 19:00:00,<50
2013-04-23 09:00:00,100
