SampleID,Location,Date,Escherichia_coli_per100ml
R1200638-03,GÄVGAXXS,2012-09-20 19:34,200
R1200638-04,GÄVGAXXS,2012-09-21 09:34,200
R1200638-05,GÄVGAXXS,2012-09-21 19:34,50
R1200638-06,GÄVGAXXS,2012-09-22 09:34,200
R1200638-07,GÄVGAXXS,2012-09-22 19:34,400
R1200638-08,GÄVGAXXS,2012-09-23 09:34,100
R1200638-09,GÄVGAXXS,2012-09-23 19:34,200
R1200638-10,GÄVGAXXS,2012-09-24 09:34,50
R1200638-11,GÄVGAXXS,2012-09-24 19:34,50
R1200638-12,GÄVGAXXS,2012-09-25 09:34,50
R1200638-13,GÄVGAXXS,2012-09-25 19:34,200
R1200638-14,GÄVGAXXS,2012-09-26 09:34,>400
R1200638-15,GÄVGAXXS,2012-09-26 19:34,>400
R1200638-16,GÄVGAXXS,2012-09-27 09:34,400
R1200638-17,GÄVGAXXS,2012-09-27 19:34,>400
R1200638-18,GÄVGAXXS,2012-09-28 09:34,>400
R1200638-19,GÄVGAXXS,2012-09-28 19:34,200
R1200638-20,GÄVGAXXS,2012-09-29 09:34,200
R1200638-21,GÄVGAXXS,2012-09-29 19:34,100
R1200638-22,GÄVGAXXS,2012-09-30 09:34,200
R1200638-23,GÄVGAXXS,2012-09-30 19:34,200
R1200638-24,GÄVGAXXS,2012-10-01 09:34,200
R1200638-25,GÄVGAXXS,2012-10-01 19:34,200
R1200638-26,GÄVGAXXS,2012-10-02 09:34,50
R1200638-27,GÄVGAXXS,2012-10-02 19:34,200
R1200638-28,GÄVGAXXS,2012-10-03 09:34,400
R1200638-29,GÄVGAXXS,2012-10-03 19:34,<50
R1200638-30,GÄVGAXXS,2012-10-04 09:34,200
R1200638-31,GÄVGAXXS,2012-10-04 19:34,<50
R1200638-32,GÄVGAXXS,2012-10-05 09:34,200
R1200638-33,GÄVGAXXS,2012-10-05 19:34,50
R1200638-34,GÄVGAXXS,2012-10-06 09:34,100
R1200638-35,GÄVGAXXS,2012-10-06 19:34,<50
R1200638-36,GÄVGAXXS,2012-10-07 09:34,<50
R1200638-37,GÄVGAXXS,2012-10-07 19:34,<50
R1200638-38,GÄVGAXXS,2012-10-08 09:34,100
R1200638-39,GÄVGAXXS,2012-10-08 19:34,100
R1200638-40,GÄVGAXXS,2012-10-09 09:34,100
R1200638-41,GÄVGAXXS,2012-10-09 19:34,400
R1200638-42,GÄVGAXXS,2012-10-10 09:34,50
R1200638-43,GÄVGAXXS,2012-10-10 19:34,100
R1200638-44,GÄVGAXXS,2012-10-11 09:34,<50
R1200638-45,GÄVGAXXS,2012-10-11 19:34,<50
R1200638-46,GÄVGAXXS,2012-10-12 09:34,<50
R1200638-47,GÄVGAXXS,2012-10-12 19:34,100
R1200638-48,GÄVGAXXS,2012-10-13 09:34,200
